Dbg: 18939664 - 3856 | 560 496 132019-02-25T16:05:24;
Connected: COM2019-02-25T16:05:27;
Sending: p711.626307841172019-02-25T16:09:45;
Sending: p739.706838492802019-02-25T16:09:46;
Sending: p694.90827650422019-02-25T16:09:47;
Sending: p715.700094123802019-02-25T16:09:48;
Sending: p652.872555230272019-02-25T16:09:49;
Sending: p665.949202167692019-02-25T16:09:50;
Sending: p685.77821293382019-02-25T16:09:51;
Sending: p745.21524574682019-02-25T16:09:52;
Sending: p661.63768636782019-02-25T16:09:53;
Sending: p727.999717949912019-02-25T16:09:54;
Sending: p725.316058727332019-02-25T16:09:55;
Sending: p693.070561997342019-02-25T16:09:56;
Sending: p703.651806342722019-02-25T16:09:57;
Sending: p706.2391099152019-02-25T16:09:58;
Sending: p730.322926641262019-02-25T16:10:00;
Sending: p720.900941563282019-02-25T16:10:01;
Sending: p734.526955994062019-02-25T16:10:02;
Sending: p706.77517943052019-02-25T16:10:03;
Sending: p743.024123790412019-02-25T16:10:04;
Sending: p727.535499802852019-02-25T16:10:05;
Sending: p685.088581425472019-02-25T16:10:06;
Sending: p724.66960694422019-02-25T16:10:07;
Sending: p680.797700407592019-02-25T16:10:08;
Sending: p728.741939109872019-02-25T16:10:09;
Sending: p690.890320558502019-02-25T16:10:10;
Sending: p711.626476228392019-02-25T16:10:11;
Sending: p698.601134938402019-02-25T16:10:12;
Sending: p717.701683994682019-02-25T16:10:13;
Sending: p666.365419609562019-02-25T16:10:14;
Sending: p725.870104154562019-02-25T16:10:15;
Sending: p674.928724322822019-02-25T16:10:16;
Sending: p741.789250089062019-02-25T16:10:17;
Sending: p738.004918897082019-02-25T16:10:18;
Sending: p718.066910734632019-02-25T16:10:20;
Sending: p744.357298747522019-02-25T16:10:21;
Sending: p710.094649319532019-02-25T16:10:22;
Sending: p720.809303967792019-02-25T16:10:23;
Sending: p723.379998881932019-02-25T16:10:24;
Sending: p711.715856530152019-02-25T16:10:25;
Sending: p754.83030185962019-02-25T16:10:26;
Sending: p658.590968786842019-02-25T16:10:27;
Sending: p688.372326266382019-02-25T16:10:28;
Sending: p729.579439677492019-02-25T16:10:29;
Sending: p765.485147339952019-02-25T16:10:30;
Sending: p764.697174711492019-02-25T16:10:31;
Sending: p716.701566984562019-02-25T16:10:32;
Sending: p737.53468529802019-02-25T16:10:33;
Sending: p683.282941134472019-02-25T16:10:34;
Sending: p741.125621286902019-02-25T16:10:35;
Sending: p694.907783191232019-02-25T16:10:36;
Sending: p742.45430422692019-02-25T16:10:37;
Sending: p722.001013433342019-02-25T16:10:38;
Sending: p680.627697122982019-02-25T16:10:39;
Sending: p687.333288482652019-02-25T16:10:40;
Sending: p752.89470266012019-02-25T16:10:41;
Sending: p667.61707027102019-02-25T16:10:43;
Sending: p705.077065634892019-02-25T16:10:44;
Sending: p735.652168887162019-02-25T16:10:45;
Sending: p675.520957311632019-02-25T16:10:46;
Sending: p712.348138413842019-02-25T16:10:47;
Sending: p702.40711381332019-02-25T16:10:48;
Sending: p742.263311550322019-02-25T16:10:49;
Sending: p733.963657738682019-02-25T16:10:50;
Sending: p741.219529268572019-02-25T16:10:51;
Sending: p745.118605165832019-02-25T16:10:52;
Sending: p743.023772153782019-02-25T16:10:53;
Sending: p670.71399499212019-02-25T16:10:54;
Sending: p736.216693433622019-02-25T16:10:55;
Sending: p720.533452990132019-02-25T16:10:56;
Sending: p750.674676877382019-02-25T16:10:57;
Sending: p760.18387520362019-02-25T16:10:58;
Sending: p743.785707998342019-02-25T16:10:59;
Sending: p726.517856669492019-02-25T16:11:00;
Sending: p742.643247795972019-02-25T16:11:01;
Sending: p759.401282521922019-02-25T16:11:02;
Sending: p723.655460372222019-02-25T16:11:03;
Sending: p725.962351871932019-02-25T16:11:04;
Sending: p678.49319332762019-02-25T16:11:06;
Sending: p688.718389069322019-02-25T16:11:07;
Sending: p701.076820705352019-02-25T16:11:08;
Sending: p746.741649744732019-02-25T16:11:09;
Sending: p716.426266033772019-02-25T16:11:10;
Sending: p734.337915138202019-02-25T16:11:11;
Sending: p708.028097572432019-02-25T16:11:12;
Sending: p726.609516644932019-02-25T16:11:13;
Sending: p718.978497780382019-02-25T16:11:14;
Sending: p746.837662269842019-02-25T16:11:15;
Sending: p752.508735097782019-02-25T16:11:16;
Sending: p750.196204132492019-02-25T16:11:17;
Sending: p754.054587070602019-02-25T16:11:18;
Sending: p670.96594925102019-02-25T16:11:19;
Sending: p715.518267548712019-02-25T16:11:20;
Sending: p688.977585501272019-02-25T16:11:21;
Sending: p764.893215521052019-02-25T16:11:22;
Sending: p708.745500720942019-02-25T16:11:23;
Sending: p789.800050817662019-02-25T16:11:24;
Sending: p680.198568908952019-02-25T16:11:26;
Sending: p731.720032426952019-02-25T16:11:27;
Sending: p715.608242448592019-02-25T16:11:28;
Sending: p709.373910277802019-02-25T16:11:29;
Sending: p722.920210097702019-02-25T16:11:30;
Sending: p667.949891533212019-02-25T16:11:31;
Sending: p697.016257440032019-02-25T16:11:32;
Sending: p723.195458882802019-02-25T16:11:33;
Sending: p704.809500364742019-02-25T16:11:34;
Sending: p748.5622539612019-02-25T16:11:35;
Sending: p693.856446259052019-02-25T16:11:36;
Sending: p681.224384805862019-02-25T16:11:37;
Sending: p704.095761869662019-02-25T16:11:38;
Sending: p750.580196091212019-02-25T16:11:39;
Sending: p789.799676993302019-02-25T16:11:40;
Sending: p743.974535855592019-02-25T16:11:41;
Sending: p680.455169315522019-02-25T16:11:42;
Sending: p749.234699208812019-02-25T16:11:43;
Sending: p700.368326613912019-02-25T16:11:44;
