Dbg: 18939664 - 3856 | 560 496 132019-02-25T15:46:35;
Connected: COM2019-02-25T15:46:37;
Sending: p437.142673913322019-02-25T15:50:38;
Sending: p451.08484167522019-02-25T15:50:39;
Sending: p453.061303786052019-02-25T15:50:40;
Sending: p440.854758392192019-02-25T15:50:41;
Sending: p435.598444154292019-02-25T15:50:42;
Sending: p444.14862724182019-02-25T15:50:43;
Sending: p440.048704562852019-02-25T15:50:44;
Sending: p450.82622016192019-02-25T15:50:45;
Sending: p436.892668246512019-02-25T15:50:46;
Sending: p457.520554817862019-02-25T15:50:47;
Sending: p420.23447035172019-02-25T15:50:48;
Sending: p437.941797955452019-02-25T15:50:49;
Sending: p453.7921023342019-02-25T15:50:50;
Sending: p450.722353329602019-02-25T15:50:51;
Sending: p435.996158132082019-02-25T15:50:52;
Sending: p453.582833942152019-02-25T15:50:53;
Sending: p443.08126896742019-02-25T15:50:54;
Sending: p456.466295262852019-02-25T15:50:55;
Sending: p455.625843281002019-02-25T15:50:57;
Sending: p467.84629111402019-02-25T15:50:58;
Sending: p457.520446602242019-02-25T15:50:59;
Sending: p449.325772030262019-02-25T15:51:00;
Sending: p442.574575134262019-02-25T15:51:01;
Sending: p454.681868935542019-02-25T15:51:02;
Sending: p473.198551276392019-02-25T15:51:03;
Sending: p472.48452902752019-02-25T15:51:04;
Sending: p470.62193016852019-02-25T15:51:05;
Sending: p490.972042054182019-02-25T15:51:06;
Sending: p461.019843751842019-02-25T15:51:07;
Sending: p478.457755382702019-02-25T15:51:08;
Sending: p487.535555262142019-02-25T15:51:09;
Sending: p465.629656725542019-02-25T15:51:10;
Sending: p456.624644430612019-02-25T15:51:11;
Sending: p476.789710039992019-02-25T15:51:12;
Sending: p457.731936817592019-02-25T15:51:13;
Sending: p478.625460423332019-02-25T15:51:14;
Sending: p477.289208693392019-02-25T15:51:15;
Sending: p468.389242939842019-02-25T15:51:16;
Sending: p476.790048333622019-02-25T15:51:17;
Sending: p508.42371337042019-02-25T15:51:19;
Sending: p480.582241348122019-02-25T15:51:20;
Sending: p482.435244114152019-02-25T15:51:21;
Sending: p477.17864292292019-02-25T15:51:22;
Sending: p456.571889924512019-02-25T15:51:23;
Sending: p476.567990427262019-02-25T15:51:24;
Sending: p479.797657357582019-02-25T15:51:25;
Sending: p478.2906875552019-02-25T15:51:26;
Sending: p481.704535888482019-02-25T15:51:27;
Sending: p503.234172853752019-02-25T15:51:28;
Sending: p460.699922974872019-02-25T15:51:29;
Sending: p464.014679043542019-02-25T15:51:30;
Sending: p468.226232398122019-02-25T15:51:31;
Sending: p473.63907783602019-02-25T15:51:32;
Sending: p500.22189826902019-02-25T15:51:33;
Sending: p495.134493905312019-02-25T15:51:34;
Sending: p471.66147459462019-02-25T15:51:35;
Sending: p522.892929295842019-02-25T15:51:36;
Sending: p484.524334319182019-02-25T15:51:38;
Sending: p505.851031720862019-02-25T15:51:39;
Sending: p486.168822497222019-02-25T15:51:40;
Sending: p512.888194213422019-02-25T15:51:41;
